;num_pedido;orgao;opiniao_tecnica;pedido_e_resposta_do_orgao;decisao_cgu
0;18883.000129/2021-28 ;Banco do Nordeste do Brasil S.A. - BNB  ; Opina-se pelo conhecimento e, no mérito, pelo desprovimento do recurso devido ao sigilo bancário, nos termos do art. 22 da Lei n° 12.527/2011, c/c o art. 1º da Lei Complementar n° 105/2001 e, ainda, à preservação de competitividade do recorrido, nos termos do art. 5°, § 2° do Decreto n° 7.724/2012, c/c o art. 22 da Lei n° 12.527/2011.    ; Solicitou informações sobre empréstimos concedidos com recursos do FNE.  1ª instância: Reiterou o pedido reduzindo seu escopo. Sendo assim, a lista solicitada deverá conter os seguintes dados: nome do beneficiário, CPF e o município de localização do empreendimento financiado dos anos de 2018, 2019, 2020 a 09/2021 (lista separada por município). Alegou que o sigilo bancário não deve ser aplicado neste caso, devido aos recursos serem públicos.  2ª instância: Reiterou o pedido. Alegou que o banco já fornece essas informações de forma parcial em seu site na internet. Esclareceu que não foram disponibilizados todos os beneficiários. Solicitou que o BNB divulgue a informação conforme solicitado por este canal ou providencie a atualização em seu site na internet.   Respostas do órgão:   Inicial: Negou o acesso à informação alegando sigilo bancário e informações pessoais.;  No exercício das atribuições a mim conferidas pelo Decreto nº 9.681, de 03 de janeiro de 2019, adoto, como fundamento deste ato, nos termos do art. 23 do Decreto nº 7.724/2012, o parecer anexo, para decidir peloconhecimento e, no mérito, pelo desprovimento do recurso interposto, no âmbito do pedido de informação NUP 18883.000129/2021-28, direcionado ao Banco do Nordeste do Brasil S.A. - BNB.      FABIO DO VALLE VALGAS DA SILVA Ouvidor-Geral da União - Adjunto     
1;08198.029455/2021-91 ;Ministério da Justiça e Segurança Pública - MJSP ;Opina-se pelo não conhecimento do recurso devido à inexistência da informação, nos termosda Súmula CMRI nº 6/2015.    ; Solicita lista de informações, em formato aberto, anteriormente divulgadas no site do órgão, que tenham sido removidas em virtude/com fundamento na edição e vigência da Lei Geral de Proteção de Dados.  1ª instância:  Esclarece que seu pedido trata-se de saber se o órgão removeu alguma informação do seu site com base na LGPD e, caso sim, quais, de modo que seja fornecida a lista dessas informações.  2ª instância:  Refuta as argumentações e esclarece que seu interesse não é o dado em si.  Respostas do órgão:   Inicial: Classifica o pedido como sendo genérico e nega acesso.;  No exercício das atribuições a mim conferidas pelo Decreto nº 9.681, de 03 de janeiro de 2019, adoto, como fundamento deste ato, nos termos do art. 23 do Decreto nº 7.724/2012, o parecer anexo, para decidir pelo�não conhecimento�do recurso interposto, no âmbito do pedido de informação 08198.029455/2021-91, direcionado ao Ministério da Justiça e Segurança Pública - MJSP.      FÁBIO DO VALLE VALGAS DA SILVA  Ouvidor-Geral da União – Adjunto     
2;00137.009925/2021-11 ;Gabinete de Segurança Institucional da Presidência da República - GSI-PR ;"  Opina-se:  a) pelo conhecimento e, no mérito, pelo provimento do recurso, com fundamento no inciso II do art. 7º da Lei nº 12.527/2011, para que seja franqueado ao requerente acesso aos registros de entrada e saída, no período de janeiro de 2019 até a presente data, relativo às três pessoas relacionadas no requerimento inicial, em harmonia com o inciso III do art. 6º e com o § 3º do art. 7º da Lei nº 13.709/2018; e b) pelo não conhecimento, quanto ao fornecimento de cópia da agenda pública, das atas e listas de presença das reuniões das quais as pessoas mencionadas participaram, porque houve declaração do GSI-PR de que não lhe compete manter tais registros, o que equivale ao entendimento expresso na Súmula CMRI nº 6/2015.    ";" o requerente solicita os registros de entrada e saída de três pessoas no Palácio do Planalto - e demais dependências da Presidência da República -, de janeiro de 2019 até a presente data; e também cópia da agenda pública, das atas e listas de presença das reuniões das quais os nomes mencionados participaram.  1ª instância: recorre, reafirma a solicitação e cita precedentes da CGU, os quais seriam favoráveis ao seu pedido.  2ª instância: recorre, reitera o pedido e requer seja aplicado o entendimento expressado no precedente NUP 00137003633202167, desta CGU, favorável à concessão de acesso em caso semelhante.  Respostas do órgão:   Inicial: nega acesso, considerando que com a entrada em vigor da Lei nº 13.709/2018 (Lei Geral de Proteção de Dados Pessoais - LGPD), em 14/08/2020, a solicitação não poderá ser atendida; cita trechos do art. 6º e 7º da referida Lei; e acentua que o tratamento dos dados pessoais coletados (nome e data de entrada de visitantes) cumpre finalidade específica de segurança da mais alta autoridade do Poder Executivo do País, amparada na Lei nº 13.844/2019.";  No exercício das atribuições a mim conferidas pelo Decreto nº 9.681, de 03 de janeiro de 2019, adoto, como fundamento deste ato, nos termos do art. 23 do Decreto nº 7.724/2012, o parecer anexo, para decidir pelo conhecimento e provimento parcial do recurso interposto, no âmbito do pedido de informação NUP 00137.009925/2021-11, direcionado ao Gabinete de Segurança Institucional da Presidência da República - GSI-PR. O órgão deverá, no prazo de 20 (vinte) dias, a contar da publicação desta decisão, disponibilizar os dados relativos aos registros de entrada e saída - no Palácio  Parecer - Recurso de 3ª Instância 1100 (2089994)         SEI 00137.009925/2021-11 / pg. 9  http://buscaprecedentes.cgu.gov.br/busca/dados/Precedente/00137010097202156_CGU.pdf#search=agenda e gsi http://buscaprecedentes.cgu.gov.br/busca/dados/Precedente/00137008313202101_CGU.pdf#search=00137%2E008313%2F2021%2D01 http://buscaprecedentes.cgu.gov.br/busca/dados/Precedente/00137004027202169_CGU.pdf#search=00137%2E004027%2F2021%2D69 http://buscaprecedentes.cgu.gov.br/busca/dados/Precedente/00137003719202190_CGU.pdf#search=00137%2E003719%2F2021%2D90 http://buscaprecedentes.cgu.gov.br/busca/dados/Precedente/00137006543202128_CGU.pdf#search=00137%2E006543%2F2021%2D28 file:///opt/v300/sei/temp/ http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/L13844.htm http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12527.htm http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12813.htm   do Planalto e demais dependências da Presidência da República -, de janeiro de 2019 até a presente data, relacionados às três pessoas descritas no requerimento inicial. A informação deverá ser postada diretamente na Plataforma Fala.BR, na aba “Cumprimento de Decisão”, no prazo acima mencionado.    VALMIR GOMES DIAS Ouvidor-Geral da União      
3;00137.010897/2021-77 ;Gabinete de Segurança Institucional da Presidência da República - GSI-PR ;"  Opina-se: a.1) pelo não conhecimento, nos termos do art. 16 da Lei nº 12.527/2011, quanto à solicitação de acesso à lista com nomes e os registros de entrada e saída de integrantes da empresa mencionada neste requerimento, nas dependências do órgão, desde janeiro 2019, na medida em que houve declaração desse Gabinete de que tal informação não consta do seu sistema eletrônico de controle de acesso de visitantes ao local, o que equivale ao entendimento expresso na Súmula CMRI nº 6/2015, não tendo sido identificada ocorrência de negativa de acesso à informação, nos termos da Lei, requisito recursal previsto no mesmo dispositivo da Lei citada; a.2) pelo conhecimento e, no mérito, pelo provimento do recurso, com fundamento no inciso II do art. 7º da Lei nº 12.527/2011, para que seja disponibilizado ao requerente acesso à lista de registros de entrada e saída da pessoa, cujo nome está descrito no pedido inicial, nas dependências do órgão, desde janeiro 2019, em harmonia com o inciso III do art. 6º e com o § 3º do art. 7º da Lei nº 13.709/2018; e b.1 e b.2) pelo não conhecimento, relativo à demanda de acesso à lista de presença, agendas públicas e atas das reuniões realizadas com representantes da mesma empresa, e os mesmos dados relativos à pessoa referida neste requerimento, nas dependências do órgão, desde janeiro 2019, porque há declaração institucional de que não lhe compete deter tais registros, atribuição cabível à pasta onde o visitante teve compromissos, e que a pessoa em questão não esteve em audiência ou reunião com o Ministro ou com servidores do GSI/PR; declarações equivalentes ao entendimento expresso na Súmula CMRI nº 6/2015, não se identificando, em ambas as situações, ter ocorrido negativa de acesso à informação, conforme a  fundamentação indicada na letra ""a.1"" desta ementa.    ";" o requerente solicita (a) lista com nomes e os registros de entrada e saída de integrantes da empresa Precisa Medicamentos ou que a representam e do empresário * E. *; e (b) lista de presença, agendas públicas e atas das reuniões realizadas com representantes da empresa Precisa Medicamentos no Brasil; e com o empresário * E. *, nas dependências desse órgão, desde janeiro 2019.  1ª instância: recorre, mencionando preceitos da Lei nº 11.527/2011, regulamentados pelo Decreto nº 7.724/2012; e reitera o pedido.  2ª instância: recorre e argumenta que existem precedentes consolidados pela CGU, pautando a publicação desses acessos a prédios públicos; sustenta que não existiria, da parte do órgão, fundamento jurídico para tal negativa de acesso à informação; aponta a inexistência de riscos à segurança presidencial; e sustenta que não haveria, neste caso, enquadramento em nenhuma das hipóteses previstas no art. 10 da Lei nº 13.844/2019, apontada.  Inicial: nega acesso, considerando que com a entrada em vigor da Lei nº 13.709/2018 (LGPD), em 14/08/2020, a solicitação não poderá ser mais atendida; cita trechos do art. 6º e 7º da referida lei; bem como da Lei nº 13.844/2019, mencionando sua competência de zelar pela segurança pessoal do Presidente e do Vice-Presidente da República, dos familiares deles e pela segurança dos palácios presidenciais e residências dessas  Parecer - Recurso de 3ª Instância 1167 (2108632)         SEI 00137.010897/2021-77 / pg. 1    Respostas do órgão:  autoridades.";  No exercício das atribuições a mim conferidas pelo Decreto nº 9.681, de 03 de janeiro de 2019, adoto, como fundamento deste ato, nos termos do art. 23 do Decreto nº 7.724/2012, o parecer anexo, para decidir pelo conhecimento e provimento parcial do recurso interposto, no âmbito do pedido de informação NUP 00137.010897/2021-77, direcionado ao Gabinete de Segurança Institucional da Presidência da República - GSI-PR. O órgão deverá, no prazo de 20 (vinte) dias, a contar da publicação desta decisão, disponibilizar ao requerente acesso à lista de registros de entrada e saída da pessoa, cujo nome é descrito no pedido inicial, nas dependências do órgão, desde janeiro 2019. A informação deverá ser postada diretamente na Plataforma Fala.BR, na aba “Cumprimento de Decisão”, no prazo acima mencionado.  Parecer - Recurso de 3ª Instância 1167 (2108632)         SEI 00137.010897/2021-77 / pg. 10         VALMIR GOMES DIAS Ouvidor-Geral da União      
4;00137.022808/2020-54 ;Gabinete de Segurança Institucional da Presidência da República - GSI/PR ;  Opina-se pelo conhecimento do recurso e, no mérito pelo provimento, com fundamento no art. 7º, inciso II da Lei nº 12.527/2011, para que seja franqueado o acesso aos registros de horários de entrada, de saída e de destino dentro das dependências do Palácio do Planalto, do período de 01/01/2020 até 11/01/2021, relativo às seis pessoas mencionadas no requerimento inicial, em harmonia com o art. 6º, inciso III e com o art. 7º, § 3º da Lei nº 13.709/2018.    ;" O requerente deseja obter informações sobre o acesso de seis pessoas ao prédio do Palácio do Planalto, por meio dos registros de horário de entrada, de saída e de destino, em 2020, até o momento em que esta solicitação for atendida.  1ª instância:  O cidadão argumenta que a LGPD não se sobrepõe à LAI e ressalta que a CGU tem precedentes consolidados de que são públicas as informações sobre o acesso de pessoas a prédios públicos. Afirma que o próprio GSI tem vários precedentes recentes de atendimentos e cita os processos 00137.018118/2020-09 00137.017857/2020-75; 00077.001878/2020-21. Argui o recorrente que a divulgação de informações de quem acessa prédios públicos  não gera qualquer risco à segurança de autoridades. E destaca que não solicita dados privados, como documentos pessoais, que podem ser tarjados, sem prejuízo de outras informações a serem franqueadas.  2ª instância:  O recorrente reitera os termos do recurso anterior.   Respostas do órgão:   Inicial: O GSI informa que, considerando a Lei Nº 13.709, de 14 de agosto de 2018, a qual entrou em vigor em 14 de agosto de 2020, a solicitação não poderá ser atendida e transcreve trechos do art. 6º e 7º da referida lei. Ressalta que o tratamento dos dados pessoais coletados (nome e data de entrada de visitantes) cumpre finalidade específica de segurança da mais alta autoridade do Poder Executivo do País, amparada na Lei nº 13.844, de 18 de junho de 2019, que dispõe, no art. 10, inciso VII, que cabe ao GSI zelar pela segurança pessoal do Presidente e Vice-Presidente da República, dos familiares  e pela segurança dos palácios presidenciais e residências dessas autoridades. Ressalta que fica clara a impossibilidade do fornecimento dos dados pessoais solicitados para outros fins que não a preservação da segurança do Presidente da República.";    No exercício das atribuições a mim conferidas pelo Decreto nº 9.681, de  03 de janeiro de 2019, adoto, como fundamento deste ato, nos termos do art. 23 do Decreto nº 7.724/2012, o parecer anexo, para decidir pelo provimento do recurso interposto, no âmbito do pedido de informação 00137.022808/2020- 54, direcionado ao Gabinete de Segurança Institucional da Presidência da República - GSI/PR.   O órgão deverá, no prazo de 20 (vinte) dias, a contar da publicação desta decisão, disponibilizar os dados relativos aos registros de horários de entrada, de saída e de destino dentro das dependências do Palácio do Planalto, do período de 01/01/2020 até 11/01/2021, relativo às seis pessoas mencionadas no requerimento inicial.  A informação ou o comprovante de entrega deverá ser postado diretamente na Plataforma Fala.BR, na aba “Cumprimento de Decisão”, no prazo acima mencionado.    VALMIR GOMES DIAS Ouvidor-Geral da União      
5;00137.003633/2021-67 ;GSI-PR – Gabinete de Segurança Institucional da Presidência da República. ;  Opina-se pelo provimento do recurso, com fundamento no art. 7º, inciso II da Lei nº 12.527/2011, de modo que seja disponibilizado ao solicitante o acesso aos registros de entrada e saída do indivíduo citado no seu pedido inicial ao Palácio do Planalto, entre os dias 20 de junho de 2020 e 25 de fevereiro de 2021, com o detalhamento da data e hora de entrada e saída, ao nome de quem autorizou a entrada e à identificação dos órgãos visitados.    ; Solicita-se o acesso aos registros de entrada de F. W. ao Palácio do Planalto, entre os dias 20 de junho de 2020 e 25 de fevereiro de 2021, com o detalhamento da data e hora de entrada e saída, nome de quem autorizou a entrada e órgão visitado.  1ª instância: O requerente afirma que não foram solicitados dados pessoais, mas apenas os registros de entrada e de saída de prédios públicos. Assegura, ademais, que não se percebem riscos à segurança do Presidente da República, já que informações de mesma natureza já foram disponibilizadas por meio dos pedidos de acesso à informação NUP 00077.001894/2020-13, NUP 00137.016888/2020- 17, NUP 00137.01648/22020-26, NUP 00077.002366/2019-48 e NUP 00077.001715/2019-12.  2ª instância:  Reitera-se o pedido inicial, com base nos argumentos expostos anteriormente.  Respostas do órgão:   Inicial: Pedido de acesso negado com fundamento nos artigos 6º e 7º da Lei nº 13.709/2018, Lei Geral de Proteção de Dados, por entender que o tratamento dos dados pessoais solicitados somente pode ocorrer para a finalidade expressa em que foram requisitados, ou seja, a segurança do Presidente da República. ;  No exercício das atribuições a mim conferidas pelo Decreto nº 9.681, de 03 de janeiro de 2019, adoto, como fundamento deste ato, nos termos do art. 23 do Decreto nº 7.724/2012, o parecer anexo, para decidir pelo provimento do recurso interposto, no âmbito do pedido de informação 00137.003633/2021- 67, direcionado ao Gabinete de Segurança Institucional da Presidência da República - GSI/PR.  O órgão deverá, no prazo de 20 (vinte) dias, a contar da publicação desta decisão, disponibilizar o acesso aos registros de entrada e saída ao Palácio do Planalto, entre os dias 20 de junho de 2020 e 25 de fevereiro de 2021, relativos ao indivíduo citado no pedido inicial. Deverão ser detalhados as datas e os horários em que ocorreram os registros, o nome do agente público que autorizou a entrada do indivíduo e os nomes dos órgãos visitados. A informação deverá ser postada diretamente na Plataforma Fala.BR, na aba “Cumprimento de Decisão”, no prazo acima mencionado.     VALMIR GOMES DIAS Ouvidor-Geral da União      
6;00137.008313/2021-01 ;Gabinete de Segurança Institucional da Presidência da República - GSI-PR ;  Opina-se pelo provimento do recurso, com fundamento no art. 7º, inciso II da Lei nº 12.527/2011, de modo que seja disponibilizado ao solicitante o acesso aos registros de entrada no Palácio do Planalto de E. S. e S. M., entre os dias 1º de janeiro de 2019 e 12 de maio de 2021, com o detalhamento da data e hora de entrada e saída, do nome do agente público que autorizou a entrada e identificação dos órgãos visitados.    ; Solicita-se o acesso aos registros de entrada no Palácio do Planalto de E. S. e S. M., entre os dias 1º de janeiro de 2019 e 12 de maio de 2021, com o detalhamento da data e da hora de entrada e saída e de quem autorizou a entrada, com fundamento nos pareceres julgados pela CGU no pedidos de acesso à informação NUP 00137.022808/2020-54 e NUP 00137.003633/2021-67.  1ª instância:  O recorrente afirma que, de acordo com os precedentes da CGU citados no pedido inicial, a Lei Geral de Proteção de Dados não pode ser utilizada para negar acesso aos registros de entrada no Palácio do Planalto. Desse modo, solicita a reconsideração da decisão inicial.  2ª instância:  O recorrente afirma que, de acordo com os precedentes da CGU citados no pedido inicial, a Lei Geral de Proteção de Dados não pode ser utilizada para negar acesso aos registros de entrada no Palácio do Planalto. Desse modo, solicita a reconsideração da decisão inicial.  Respostas do órgão:   Inicial: Nega-se o atendimento ao pedido inicial com base nos artigos 6º, inciso I, e 7º, incisos  I, II e VI, da Lei nº 13.709/2018, Lei Geral de Proteção de Dados - LGPD, c/c o artigo 10, inciso VI, da Lei nº 13.844/2019. Nesse sentido, destacou-se a impossibilidade do fornecimento dos dados pessoais solicitados para outros fins que não a segurança na Presidência da República.;  No exercício das atribuições a mim conferidas pelo Decreto nº 9.681, de 03 de  Parecer - Recurso de 3ª Instância 741 (2004724)         SEI 00137.008313/2021-01 / pg. 5  http://buscaprecedentes.cgu.gov.br/busca/dados/Precedente/00137022808202054_CGU.pdf#search=00137%2E022808%2F2020%2D54 Instancia%3A%22CGU%22 http://buscaprecedentes.cgu.gov.br/busca/dados/Precedente/00137003633202167_CGU.pdf#search=00137%2E003633%2F2021%2D67 Instancia%3A%22CGU%22 https://sei.cgu.gov.br/sei/controlador.php?acao=documento_visualizar&acao_origem=procedimento_visualizar&id_documento=2120386&arvore=1&infra_sistema=100000100&infra_unidade_atual=110001068&infra_hash=84637a2e976d7ce1a8edc1f0b822b6d967c99a3879dfa9a36b01c417542f8c04#_ftnref1 https://sei.cgu.gov.br/sei/controlador.php?acao=documento_visualizar&acao_origem=procedimento_visualizar&id_documento=2120386&arvore=1&infra_sistema=100000100&infra_unidade_atual=110001068&infra_hash=84637a2e976d7ce1a8edc1f0b822b6d967c99a3879dfa9a36b01c417542f8c04#_ftnref1 https://sei.cgu.gov.br/sei/controlador.php?acao=documento_visualizar&acao_origem=procedimento_visualizar&id_documento=2120386&arvore=1&infra_sistema=100000100&infra_unidade_atual=110001068&infra_hash=84637a2e976d7ce1a8edc1f0b822b6d967c99a3879dfa9a36b01c417542f8c04#_ftnref1 https://sei.cgu.gov.br/sei/controlador.php?acao=documento_visualizar&acao_origem=procedimento_visualizar&id_documento=2120386&arvore=1&infra_sistema=100000100&infra_unidade_atual=110001068&infra_hash=84637a2e976d7ce1a8edc1f0b822b6d967c99a3879dfa9a36b01c417542f8c04#_ftnref1 https://sei.cgu.gov.br/sei/controlador.php?acao=documento_visualizar&acao_origem=procedimento_visualizar&id_documento=2120386&arvore=1&infra_sistema=100000100&infra_unidade_atual=110001068&infra_hash=84637a2e976d7ce1a8edc1f0b822b6d967c99a3879dfa9a36b01c417542f8c04#_ftnref1   janeiro de 2019, adoto, como fundamento deste ato, nos termos do art. 23 do Decreto nº 7.724/2012, o parecer anexo, para decidir pelo provimento do recurso interposto, no âmbito do pedido de informação 00137.008313/2021- 01, direcionado ao Gabinete de Segurança Institucional da Presidência da República - GSI/PR.  O órgão deverá, no prazo de 20 (vinte) dias, a contar da publicação desta decisão, disponibilizar o acesso aos registros de entrada e saída ao Palácio do Planalto de E. S. e S. M., entre os dias 1º de janeiro de 2019 e 12 de maio de 2021. Deverão ser detalhados as datas e os horários em que ocorreram os registros, bem como a identificação do agente público que autorizou a entrada dos indivíduos e dos órgãos públicos visitados. A informação deverá ser postada diretamente na Plataforma Fala.BR, na aba “Cumprimento de Decisão”, no prazo acima mencionado.     VALMIR GOMES DIAS Ouvidor-Geral da União      
7; 00137.004027/2021-69 ; Gabinete de Segurança Institucional da Presidência da República - GSI/PR ;  Opina-se pelo conhecimento do recurso e, no mérito pelo provimento, com fundamento no art. 7º, inciso II da Lei nº 12.527/2011, para que seja franqueado o acesso aos registros de horários de entrada e de saída, no Palácio do Planalto e demais dependências, relativo à pessoa mencionada no requerimento inicial, do período de 01/01/2019 até 08/05/2021, em harmonia com o art. 6º, inciso III e com o art. 7º, § 3º da Lei nº 13.709/2018.    ; O cidadão requer acesso a todas as datas e horários de entrada e de saída de J. R. B, no Palácio do Planalto e demais dependências.  1ª instância:  O recorrente argumenta que pedido idêntico a esse foi respondido por diversos outros Ministérios, com respaldo da CGU. Ressalta que se trata de prédio público e que, portanto, nada tem a ver com intimidade de cidadãos.  2ª instância:  O requerente contesta a resposta recebida e argui que a lei citada nada fala em relação ao tipo de dado solicitado. Registra que se trata de informação pública, frequentemente fornecida por diversos órgãos.  Respostas do órgão:   Inicial: O GSI/PR informa que, considerando a Lei Nº 13.709, de 14 de agosto de 2018, a qual entrou em vigor em 14 de agosto de 2020, a solicitação não poderá ser atendida e transcreve trechos dos art. 6º e 7º da referida lei. Ressalta que o tratamento dos dados pessoais coletados (nome e data de entrada de visitantes) cumpre finalidade específica de segurança da mais alta autoridade do Poder Executivo do país, amparada na Lei nº 13.844, de 18 de junho de 2019, que dispõe, no art. 10, inciso VII, que cabe ao GSI zelar pela segurança pessoal do Presidente e Vice- Presidente da República, dos familiares e pela segurança dos palácios presidenciais e residências dessas autoridades. Ressalta que fica clara a impossibilidade do fornecimento dos dados pessoais solicitados para outros fins que não a preservação da segurança do Presidente da República.;    No exercício das atribuições a mim conferidas pelo Decreto nº 9.681, de  03 de janeiro de 2019, adoto, como fundamento deste ato, nos termos do art. 23 do Decreto nº 7.724/2012, o parecer anexo, para decidir pelo provimento do recurso interposto, no âmbito do pedido de informação 00137.004027/2021- 69, direcionado ao Gabinete de Segurança Institucional da Presidência da República - GSI/PR.   O órgão deverá, no prazo de 20 (vinte) dias, a contar da publicação desta decisão, disponibilizar os dados relativos aos registros de horários de entrada e de saída, no Palácio do Planalto e demais dependências, do período de 01/01/2019 até 08/05/2021, relativo à pessoa mencionada no requerimento inicial.  A informação ou o comprovante de entrega deverá ser postado diretamente na Plataforma Fala.BR, na aba “Cumprimento de Decisão”, no prazo acima mencionado.    VALMIR GOMES DIAS Ouvidor-Geral da União      
8;00137.006543/2021-28 ;Gabinete de Segurança Institucional da Presidência da República - GSI-PR  ;  Opina-se pelo conhecimento e, no mérito, pelo provimento do recurso, com fundamento no art. 7º, inciso II da Lei nº 12.527/2011, de modo que seja disponibilizado ao solicitante o acesso aos registros de entrada e saída ao Palácio do Planalto, entre os dias 1º de janeiro de 2019 e 13 de abril de 2021, relativos às pessoas citadas no pedido inicial. Deverão ser detalhados as datas e os horários em que ocorreram os registros e o nome do agente público que autorizou a entrada.    ; Solicitou acesso aos registros de entrada no Palácio do Planalto de C. M., M. D. e A. B., entre os dias 1º de janeiro de 2019 e 13 de abril de 2021, com o detalhamento da data e da hora de entrada e saída e de quem autorizou a entrada.  1ª instância: Recorreu, pois não concordou com a alegação de que as informações são dados pessoais.  2ª instância: Alegou novamente que o pedido não trata de dados pessoais.  Respostas do órgão:   Inicial: Negou o pedido com fundamento nos artigos 6º e 7º da Lei nº 13.709/2018, Lei Geral de Proteção de Dados. Destacou que o tratamento dos dados pessoais solicitados cumpre a finalidade específica de segurança, amparada no art.10 da Lei nº 13.844, de 18 de junho de 2019.;  No exercício das atribuições a mim conferidas pelo Decreto nº 9.681, de 03 de janeiro de 2019, adoto, como fundamento deste ato, nos termos do art. 23 do Decreto nº 7.724/2012, o parecer anexo, para decidir pelo conhecimento, e no mérito, pelo provimento do recurso interposto, no âmbito do pedido de informação 00137.006543/2021-28, direcionado ao Gabinete de Segurança Institucional da Presidência da República - GSI/PR.   O órgão deverá, no prazo de 20 (vinte) dias, a contar da publicação desta decisão, disponibilizar o acesso aos registros de entrada e saída ao Palácio do Planalto, entre os dias 1º de janeiro de 2019 e 13 de abril de 2021, relativos às pessoas citadas no pedido inicial. Deverão ser detalhados as datas e os horários em que ocorreram os registros e o nome do agente público que autorizou a entrada.   A informação deverá ser postada diretamente na Plataforma Fala.BR, na aba “Cumprimento de Decisão”, no prazo acima mencionado.  VALMIR GOMES DIAS Ouvidor-Geral da União   
9;00137.010097/2021-56 ;Gabinete de Segurança Institucional da Presidência da República (GSI-PR) ;  Opina-se pelo provimento do recurso, com fundamento no art. 7º, inciso II da Lei nº 12.527/2011, de modo que seja disponibilizado ao solicitante o acesso aos registros de entrada e saída nas dependências da Presidência da República do servidor A.F.C.S.M e do Coronel do Exército Brasileiro, R.S.M, assim como ao local de destino das pessoas mencionadas, desde janeiro de 2019 até 29 de junho de 2021, data de resposta deste pedido inicial.    ; Solicitou os registros de entrada e saída de servidor e de coronel do Exército nas dependências da Presidência da República, desde janeiro de 2019 até a data de resposta do presente requerimento (29/06/2021). Solicitou, também, informações sobre o local de destino das pessoas mencionadas, bem como acesso à ata, à lista de presença e à agenda pública da reunião da qual elas participaram.  1ª instância: Declarou, em síntese, que os dispositivos mencionados na resposta do GSI-PR não se sobrepõem à Lei nº 12.527/2011 (LAI), mas que são compatíveis entre si. Destacou que sua solicitação se refere a entrada e saída de pessoas em uma repartição pública, e que, assim, não havia relação com a vida privada dos indivíduos. Ressaltou o entendimento da CGU, nestes casos, no sentido de que tais informações têm um papel relevante no controle social. Reiterou, em recurso, que fosse franqueado o acesso à informação sobre a entrada de saída do servidor e do Coronel do Exército indicados por ele, nas dependências da Presidência da República, de janeiro de 2019 até a data de resposta do requerimento inicial.  2ª instância:  Reiterou os argumentos apresentados no recurso de 1ª instância.  Respostas do órgão:   Inicial: Declarou que a solicitação não poderia ser atendida com base na Lei nº 13.709, de 14 de agosto de 2018, a qual entrou em vigor em 14 de agosto de 2020, Lei Geral de Proteção de Dados Pessoais (LGPD), nos termos de seus artigos 6º e 7º, que dispõe sobre tratamento de dados pessoais. Destacou, em complemento, que o GSI/PR cumpria sua finalidade específica de segurança, amparado na Lei nº 13.844, de 18 de junho de 2019.;  No exercício das atribuições a mim conferidas pelo Decreto nº 9.681, de 03 de janeiro de 2019, adoto, como fundamento deste ato, nos termos do art. 23 do Decreto nº 7.724/2012, o parecer anexo, para decidir pelo provimento do recurso interposto, no âmbito do pedido de informação 00137.010097/2021- 56,  direcionado ao Gabinete de Segurança Institucional da Presidência da República (GSI-PR).  O órgão deverá, no prazo de 20 (vinte) dias, a contar da publicação desta decisão, disponibilizar o acesso aos registros de entrada e saída nas dependências da Presidência da República do servidor A.F.C.S.M e do Coronel do Exército Brasileiro, R.S.M, assim como ao local de destino dessas pessoas, desde janeiro de 2019 até 29 de junho de 2021, data de resposta do pedido inicial.  A informação deverá ser postada diretamente na Plataforma Fala.BR, na aba “Cumprimento de Decisão”, no prazo acima mencionado.    VALMIR GOMES DIAS Ouvidor-Geral da União        
